scenario,case_type,id,raw_text_excerpt,true_class,true_intensity,emoe_class,emoe_intensity,prmf_class,prmf_intensity,prmf_minus_emoe_abs_reg_error
clean,prmf_regression_worse,rojyUp4FPSg$_$7,"And if you've seen reviews in the past or read the reviews on our website, you'll see that we are big fans of subtle scents when it comes to shampoos and conditioners or body washe",2,0.3333333432674408,2,0.52099609375,2,1.58984375,1.06884765625
clean,prmf_regression_worse,112433$_$7,You're really not missing out on anything,0,-0.6666666865348816,0,-0.63720703125,2,0.31494140625,0.9521484375
clean,prmf_regression_worse,2S00zYaVrtc$_$10,The pepper spray incident was one that I will deeply regret for the rest of my life.,0,-2.6666667461395264,0,-1.48046875,0,-0.53125,0.94921875
clean,prmf_regression_worse,XIGpuL-Kkyk$_$12,So what we actually have been preparing for companies is to let them know that they're medical products are actually competitive and viable in this market,2,2.0,2,1.3583984375,2,0.435791015625,0.922607421875
clean,prmf_regression_worse,nUZYqTRSGDw$_$4,Now the alternative to that is to spend all your money and have debt and have the government look at you as a burden.,0,-0.6666666865348816,0,-0.75244140625,0,-1.64453125,0.89208984375
clean,emoe_regression_worse,f_ZJ7L14oYQ$_$27,So what I found is that I just pop these over my tennis shoes and I don't have to worry about it anymore.,2,1.6666666269302368,0,-1.3505859375,2,0.2093505859375,-1.5599365234375
clean,emoe_regression_worse,121128$_$10,(umm) But I still think that kids would enjoy it equally as well,2,2.0,0,-0.64453125,2,0.55029296875,-1.19482421875
clean,emoe_regression_worse,128059$_$7,"(uhh) You know, if you don't know what it's about (uhh) you know it's a team of scientists that go up into space to explore this kind of radiation field that's going by earth and y",1,0.0,0,-1.3115234375,1,-0.1209716796875,-1.1905517578125
clean,emoe_regression_worse,PwapK9d8IGk$_$4,"For example, if you take a hundred thousand dollars based on your age, you want to receive an income stream for ten years, twenty years, or for your entire life, that's what the in",1,0.0,0,-1.2392578125,1,0.1104736328125,-1.1287841796875
clean,emoe_regression_worse,goMtnNHQ_z4$_$2,You found your perfect piece of property and now you want to build your dream home on it.,2,1.6666666269302368,2,0.041748046875,2,1.1435546875,-1.101806640625
text_middle_50pct,prmf_regression_worse,266791$_$5,"(umm) Unfortunately, this one can't even fit into the not so good movies category (umm) I'll get to that in a little bit",0,-2.3333332538604736,0,-1.8564453125,0,-0.449951171875,1.406494140625
text_middle_50pct,prmf_regression_worse,2S00zYaVrtc$_$10,The pepper spray incident was one that I will deeply regret for the rest of my life.,0,-2.6666667461395264,0,-1.607421875,0,-0.38720703125,1.22021484375
text_middle_50pct,prmf_regression_worse,273539$_$9,"That I think worked with the film (umm) but originality wise, this movie is nothing that hasn't been made before It's just kinda sleezy (umm) waste of time completes your mind type",0,-2.3333332538604736,0,-1.455078125,0,-0.25,1.205078125
text_middle_50pct,prmf_regression_worse,qmMSumMloAs$_$2,So Thank you to everyone who has donated it has been an amazing journey so far and I can't wait... there's 18 days left and... It's gonna rock!,2,2.6666667461395264,2,1.9619140625,2,0.84130859375,1.12060546875
text_middle_50pct,prmf_regression_worse,XIGpuL-Kkyk$_$12,So what we actually have been preparing for companies is to let them know that they're medical products are actually competitive and viable in this market,2,2.0,2,1.47265625,2,0.375244140625,1.097412109375
text_middle_50pct,emoe_regression_worse,f_ZJ7L14oYQ$_$27,So what I found is that I just pop these over my tennis shoes and I don't have to worry about it anymore.,2,1.6666666269302368,0,-1.3037109375,2,0.12103271484375,-1.42474365234375
text_middle_50pct,emoe_regression_worse,241629$_$3,(uhh) Knocked Up was a hilarious movie that I really enjoyed and (uhh) was expecting something along that lines for this movie,2,2.3333332538604736,0,-1.7314453125,0,-0.3583984375,-1.373046875
text_middle_50pct,emoe_regression_worse,PwapK9d8IGk$_$4,"For example, if you take a hundred thousand dollars based on your age, you want to receive an income stream for ten years, twenty years, or for your entire life, that's what the in",1,0.0,0,-1.310546875,1,0.014007568359375,-1.296539306640625
text_middle_50pct,emoe_regression_worse,128059$_$7,"(uhh) You know, if you don't know what it's about (uhh) you know it's a team of scientists that go up into space to explore this kind of radiation field that's going by earth and y",1,0.0,0,-1.4462890625,0,-0.1607666015625,-1.2855224609375
text_middle_50pct,emoe_regression_worse,130456$_$11,"It it (stutter) involves like, (uhh) theoretical physics and just so much stuff and Donnie Darko no matter how weird he is is still really funny",2,1.6666666269302368,0,-1.9130859375,0,-0.7421875,-1.1708984375
audio_vision_middle_30pct,prmf_regression_worse,2S00zYaVrtc$_$10,The pepper spray incident was one that I will deeply regret for the rest of my life.,0,-2.6666667461395264,0,-1.52734375,0,-0.475341796875,1.052001953125
