id,polarity,intensity,dominant_router_modality,router_text,router_audio,router_vision,dominant_perturbation_modality,perturbation_contribution_text,perturbation_contribution_audio,perturbation_contribution_vision,text_text_excerpt,text_slot_start,text_slot_end_inclusive,audio_approx_start_s,audio_approx_end_s,vision_approx_key_frame,vision_approx_start_s,vision_approx_end_s,video_path,time_mapping
01,Positive,0.403809,Text,0.367434,0.285112,0.347455,Text,0.526333,0.0,0.473667,performs to its mile,17,20,4.909,6.545,220,6.545,8.182,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,uniform-slot approximation; not source timestamps
02,Positive,0.264893,Vision,0.315308,0.205576,0.479117,Vision,0.252177,0.342459,0.405365,s happiness - not,9,12,1.558,2.337,98,3.116,3.7,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,uniform-slot approximation; not source timestamps
03,Neutral,0.361572,Vision,0.249979,0.208662,0.541359,Text,0.897349,0.102651,0.0,who don't,17,20,7.758,9.697,145,3.879,5.818,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,uniform-slot approximation; not source timestamps
04,Positive,0.691406,Text,0.633034,0.188454,0.178512,Vision,0.0,0.4809,0.5191,my chances of cheering,13,16,7.154,8.585,63,1.431,2.862,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,uniform-slot approximation; not source timestamps
05,Positive,0.786133,Vision,0.346085,0.261366,0.392549,Audio,0.0,0.578853,0.421147,marketer for Red,9,12,4.934,6.167,24,0.0,1.645,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,uniform-slot approximation; not source timestamps
06,Positive,0.544922,Vision,0.231532,0.263065,0.505403,None,0.0,0.0,0.0,you might want to,25,28,7.84,8.96,149,4.48,5.6,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,uniform-slot approximation; not source timestamps
07,Positive,1.140625,Text,0.445131,0.230741,0.324128,Audio,0.089581,0.910419,0.0,with ways the leading,45,48,22.123,24.134,632,20.112,22.123,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,uniform-slot approximation; not source timestamps
08,Positive,0.483643,Vision,0.238832,0.286194,0.474974,None,0.0,0.0,0.0,That brings us to,1,4,2.933,5.867,43,0.0,2.933,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,uniform-slot approximation; not source timestamps
09,Negative,-2.384766,Text,0.79187,0.105919,0.10221,None,0.0,0.0,0.0,", I would not",13,16,0.0,2.511,37,0.0,2.511,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,uniform-slot approximation; not source timestamps
10,Negative,-1.680664,Text,0.770706,0.106153,0.12314,Audio,0.368453,0.631547,0.0,(umm) And,1,4,0.0,1.458,281,8.747,10.205,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,uniform-slot approximation; not source timestamps
11,Negative,-1.149414,Text,0.653307,0.11106,0.235632,Audio,0.0,0.712622,0.287378,a director,13,14,0.0,3.264,48,0.0,3.264,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,uniform-slot approximation; not source timestamps
12,Negative,-0.572266,Text,0.452341,0.327124,0.220534,Vision,0.0,0.275614,0.724386,credit scores is very,37,40,5.819,7.759,550,17.457,19.397,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4,uniform-slot approximation; not source timestamps
13,Neutral,0.233521,Vision,0.214029,0.277719,0.508253,Audio,0.0,1.0,0.0,between any two of,21,24,6.944,8.101,,,,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\13.mp4,uniform-slot approximation; not source timestamps
14,Neutral,0.389648,Text,0.493492,0.10891,0.397598,Audio,0.0,1.0,0.0,Uniform Final Examination (,21,24,12.709,13.9,213,6.354,7.943,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,uniform-slot approximation; not source timestamps
15,Positive,0.736328,Vision,0.246668,0.233426,0.519906,Vision,0.0,0.0,1.0,because they believed in,13,16,2.794,4.191,20,0.0,1.397,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,uniform-slot approximation; not source timestamps
16,Negative,-2.636719,Text,0.783693,0.10847,0.107837,None,0.0,0.0,0.0,It's a,1,4,0.0,2.027,30,0.0,2.027,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,uniform-slot approximation; not source timestamps
17,Positive,1.829102,Text,0.731829,0.062955,0.205216,None,0.0,0.0,0.0,"is simple, easy",9,12,0.0,2.333,314,9.333,11.667,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\17.mp4,uniform-slot approximation; not source timestamps
18,Neutral,0.342041,Text,0.603234,0.156405,0.24036,Text,0.896673,0.0,0.103327,on mackerel,45,48,19.139,21.053,656,21.053,22.967,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\18.mp4,uniform-slot approximation; not source timestamps
19,Negative,-0.327393,Text,0.618242,0.18622,0.195538,Text,0.791338,0.184072,0.02459,own up to mistakes,9,12,5.764,7.686,373,11.529,13.45,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,uniform-slot approximation; not source timestamps
20,Positive,1.166016,Vision,0.338164,0.122176,0.53966,Vision,0.066165,0.01407,0.919766,", and we'",17,20,8.729,10.475,182,5.237,6.983,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\20.mp4,uniform-slot approximation; not source timestamps
