id,polarity,intensity,main_reference_modality,dominant_proxy_modality,proxy_weight_text,proxy_weight_audio,proxy_weight_vision,perturbation_contribution_text,perturbation_contribution_audio,perturbation_contribution_vision,text_text_excerpt,text_slot_start,text_slot_end_inclusive,audio_approx_start_s,audio_approx_end_s,vision_approx_key_frame,vision_approx_start_s,vision_approx_end_s,video_path,time_mapping
01,Neutral,0.180216,Text,Audio,0.329434,0.337173,0.333393,0.800416,0.0,0.199584,Replacing these wear components,1,4,1.636,3.273,24,0.0,1.636,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,uniform-slot approximation; not source timestamps
02,Positive,0.229879,Text,Audio,0.330613,0.336351,0.333035,0.773722,0.226278,0.0,s happiness - not,9,12,0.779,1.558,79,2.337,3.116,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,uniform-slot approximation; not source timestamps
03,Negative,-0.188334,Audio,Audio,0.329788,0.33696,0.333252,0.326038,0.585024,0.088938,take rental income into,21,24,3.879,5.818,261,7.758,9.697,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,uniform-slot approximation; not source timestamps
04,Negative,-0.12203,Text,Audio,0.331101,0.336218,0.332681,0.715435,0.284565,0.0,goodbye?] Absolutely,21,24,2.862,4.292,21,0.0,1.431,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,uniform-slot approximation; not source timestamps
05,Positive,0.527588,Vision,Audio,0.329486,0.337032,0.333482,0.056427,0.241415,0.702158,"Hi, my name",1,4,1.645,3.289,24,0.0,1.645,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,uniform-slot approximation; not source timestamps
06,Positive,0.649414,Text,Audio,0.331535,0.336101,0.332364,0.913056,0.086944,0.0,impressive dance moves then,21,24,1.12,2.24,116,3.36,4.48,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,uniform-slot approximation; not source timestamps
07,Positive,0.660319,Text,Audio,0.329252,0.336993,0.333755,0.848553,0.124356,0.02709,enthusiastically discussed the topics,21,24,2.011,4.022,572,18.101,20.112,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,uniform-slot approximation; not source timestamps
08,Positive,0.752604,Audio,Audio,0.330727,0.336399,0.332874,0.480308,0.519692,0.0,That brings us to,1,4,2.933,5.867,43,0.0,2.933,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,uniform-slot approximation; not source timestamps
09,Negative,-2.457031,Text,Text,0.334846,0.334469,0.330685,0.901194,0.098806,0.0,", I would not",13,16,5.022,7.533,263,7.533,10.044,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,uniform-slot approximation; not source timestamps
10,Negative,-1.87793,Text,Audio,0.333083,0.335224,0.331693,0.944627,0.055373,0.0,but this one was,25,28,2.916,4.374,64,1.458,2.916,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,uniform-slot approximation; not source timestamps
11,Negative,-0.741699,Text,Audio,0.332308,0.335762,0.33193,0.706174,0.255254,0.038572,I would be ashamed,1,4,6.528,9.792,48,0.0,3.264,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,uniform-slot approximation; not source timestamps
12,Negative,-1.407878,Text,Audio,0.33056,0.336229,0.33321,0.743748,0.110858,0.145394,"sag, and",33,36,3.879,5.819,492,15.518,17.457,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4,uniform-slot approximation; not source timestamps
13,Neutral,0.184764,Text,Audio,0.328791,0.337381,0.333828,1.0,0.0,0.0,could take a set,5,8,2.315,3.472,,,,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\13.mp4,uniform-slot approximation; not source timestamps
14,Positive,0.318888,Vision,Audio,0.328229,0.337692,0.334079,0.0,0.195196,0.804804,York University.,33,35,1.589,3.177,355,11.12,12.709,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,uniform-slot approximation; not source timestamps
15,Positive,0.964193,Text,Audio,0.330784,0.336357,0.332859,0.699967,0.149715,0.150318,its power to transform,17,20,1.397,2.794,214,6.985,7.334,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,uniform-slot approximation; not source timestamps
16,Negative,-2.64388,Text,Audio,0.333683,0.334894,0.331423,0.687616,0.202898,0.109486,"terrible, this is",5,8,2.027,4.053,90,2.027,4.053,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,uniform-slot approximation; not source timestamps
17,Positive,1.491536,Text,Audio,0.333021,0.335199,0.33178,0.924268,0.063905,0.011827,"is simple, easy",9,12,2.333,4.667,104,2.333,4.667,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\17.mp4,uniform-slot approximation; not source timestamps
18,Negative,-0.302419,Audio,Audio,0.329416,0.336884,0.3337,0.0,0.560441,0.439559,on the fact that,33,36,19.139,21.053,656,21.053,22.967,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\18.mp4,uniform-slot approximation; not source timestamps
19,Negative,0.206472,Text,Audio,0.332241,0.336016,0.331743,0.800304,0.199696,0.0,own up to mistakes,9,12,3.843,5.764,316,9.607,11.529,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,uniform-slot approximation; not source timestamps
20,Positive,0.972982,Text,Audio,0.329916,0.336574,0.333511,0.73016,0.07202,0.19782,"And of course,",1,4,1.746,3.492,182,5.237,6.983,D:\work\math\huaweicup\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\20.mp4,uniform-slot approximation; not source timestamps
